species,product,food_type,pack_size,ean,wms_code,image_scope,local_image,image_url,source_page,declared_dimensions,declared_dpi,image_label,file_bytes,sha256,status
cat,2016 - FHN - DRY - Cat - OUTDOOR - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,10 kg,3182550707398,2502100,shared official master across listed weights,images/cat/2016-fhn-dry-cat-outdoor-zone-europe-standard-perfect-product-page-master-fdd43dc0bf.png,https://cdn.royalcanin-weshare-online.io/QyEua2QBaxEApS7LkPuL/v380/16-outdoor-b1-ne,https://www.royalcanin.com/uk/cats/products/retail-products/outdoor-2546,2480x3508,300,16-OUTDOOR-B1-NE,617428,fdd43dc0bff678138a2da4570a329913b37d0c8d1b671242304da5060cefc974,downloaded
cat,2016 - FHN - DRY - Cat - SENSIBLE 33 - Zone Europe - POULTRY - Perfect Product Page Master,mainmeal,2 kg,3182550702317,2152020,shared official master across listed weights,images/cat/2016-fhn-dry-cat-sensible-33-zone-europe-poultry-perfect-product-page-master-cdd2959136.jpg,https://marspetcareaprimocdn.petcare.global/3a19d773-b0bc-47b9-8853-b37900712f28/3a19d773-b0bc-47b9-8853-b37900712f28_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/sensible-33-2521,,,16-SENSIBLE 33-B1-IN,364057,cdd2959136cafa0a0e89d8c11e07861359410b4db12dc3644409078886e12517,downloaded
cat,2016 - FHN - DRY - Cat - SENSIBLE 33 - Zone Europe - POULTRY - Perfect Product Page Master,mainmeal,4 kg,3182550702331,2152040,shared official master across listed weights,images/cat/2016-fhn-dry-cat-sensible-33-zone-europe-poultry-perfect-product-page-master-cdd2959136.jpg,https://marspetcareaprimocdn.petcare.global/3a19d773-b0bc-47b9-8853-b37900712f28/3a19d773-b0bc-47b9-8853-b37900712f28_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/sensible-33-2521,,,16-SENSIBLE 33-B1-IN,364057,cdd2959136cafa0a0e89d8c11e07861359410b4db12dc3644409078886e12517,downloaded
cat,2016 - FHN - DRY - Cat - SENSIBLE 33 - Zone Europe - POULTRY - Perfect Product Page Master,mainmeal,2 kg,3182550702317,2152020,shared official master across listed weights,images/cat/2016-fhn-dry-cat-sensible-33-zone-europe-poultry-perfect-product-page-master-cdd2959136.jpg,https://marspetcareaprimocdn.petcare.global/3a19d773-b0bc-47b9-8853-b37900712f28/3a19d773-b0bc-47b9-8853-b37900712f28_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/sensible-33-2521,,,16-SENSIBLE 33-B1-IN,364057,cdd2959136cafa0a0e89d8c11e07861359410b4db12dc3644409078886e12517,downloaded
cat,2016 - FHN - DRY - Cat - SENSIBLE 33 - Zone Europe - POULTRY - Perfect Product Page Master,mainmeal,4 kg,3182550702331,2152040,shared official master across listed weights,images/cat/2016-fhn-dry-cat-sensible-33-zone-europe-poultry-perfect-product-page-master-cdd2959136.jpg,https://marspetcareaprimocdn.petcare.global/3a19d773-b0bc-47b9-8853-b37900712f28/3a19d773-b0bc-47b9-8853-b37900712f28_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/sensible-33-2521,,,16-SENSIBLE 33-B1-IN,364057,cdd2959136cafa0a0e89d8c11e07861359410b4db12dc3644409078886e12517,downloaded
cat,2016 - FHN - DRY - Cat - STERILISED 37 - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,4 kg,3182550737616,2304040,shared official master across listed weights,images/cat/2016-fhn-dry-cat-sterilised-37-zone-europe-standard-perfect-product-page-master-114197b8b4.jpg,https://marspetcareaprimocdn.petcare.global/cd9a054c-ee77-4adb-8c2a-b24900071afb/cd9a054c-ee77-4adb-8c2a-b24900071afb_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/sterilised-37-2537,,,16-STERILISED 37-B1-NE,337831,114197b8b4266aa0a4f09cd85e7634e3e929417c0759fab9a2e631da4d1d1479,downloaded
cat,2016 - FHN - DRY - Cat - STERILISED 37 - Zone Europe - STANDARD - Perfect Product Page Master,mainmeal,10 kg,3182550737623,2304100,shared official master across listed weights,images/cat/2016-fhn-dry-cat-sterilised-37-zone-europe-standard-perfect-product-page-master-114197b8b4.jpg,https://marspetcareaprimocdn.petcare.global/cd9a054c-ee77-4adb-8c2a-b24900071afb/cd9a054c-ee77-4adb-8c2a-b24900071afb_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/sterilised-37-2537,,,16-STERILISED 37-B1-NE,337831,114197b8b4266aa0a4f09cd85e7634e3e929417c0759fab9a2e631da4d1d1479,downloaded
cat,2016 - FHN - Dry - Cat - FIT 32 - Zone Europe - PORK - Perfect Product Page Master,mainmeal,2 kg,3182550702201,2102020,shared official master across listed weights,images/cat/2016-fhn-dry-cat-fit-32-zone-europe-pork-perfect-product-page-master-059b49c27e.jpg,https://marspetcareaprimocdn.petcare.global/d00b96be-3063-4140-ac03-b378009a2c3a/d00b96be-3063-4140-ac03-b378009a2c3a_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/fit-32-2520,,,16-FIT 32-B1-EST,358601,059b49c27ea3bde476539f5a8203ab4b81dedc2ed42d35dfb8da2752913ce30f,downloaded
cat,2016 - FHN - Dry - Cat - FIT 32 - Zone Europe - PORK - Perfect Product Page Master,mainmeal,4 kg,3182550702225,2102040,shared official master across listed weights,images/cat/2016-fhn-dry-cat-fit-32-zone-europe-pork-perfect-product-page-master-059b49c27e.jpg,https://marspetcareaprimocdn.petcare.global/d00b96be-3063-4140-ac03-b378009a2c3a/d00b96be-3063-4140-ac03-b378009a2c3a_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/fit-32-2520,,,16-FIT 32-B1-EST,358601,059b49c27ea3bde476539f5a8203ab4b81dedc2ed42d35dfb8da2752913ce30f,downloaded
cat,2016 - FHN - Dry - Cat - FIT 32 - Zone Europe - PORK - Perfect Product Page Master,mainmeal,10 kg,3182550702249,2102100,shared official master across listed weights,images/cat/2016-fhn-dry-cat-fit-32-zone-europe-pork-perfect-product-page-master-059b49c27e.jpg,https://marspetcareaprimocdn.petcare.global/d00b96be-3063-4140-ac03-b378009a2c3a/d00b96be-3063-4140-ac03-b378009a2c3a_DownloadAsJpg.jpg,https://www.royalcanin.com/uk/cats/products/retail-products/fit-32-2520,,,16-FIT 32-B1-EST,358601,059b49c27ea3bde476539f5a8203ab4b81dedc2ed42d35dfb8da2752913ce30f,downloaded
